Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
338,Support to Western Indian Ocean Marine Science Assiciation - WIOMSA,Ministry of the Environment and Energy Section for natural resources (Sweden),Active,2012,2017,"Somalia, Kenya, Tanzania, Mozambique, South Africa, Seychelles, Mauritius, Reunion, Comoros and Madagascar",Indian Ocean,,,"US$ 9,840,000",,,,
339,Red Sea and Gulf of Aden Strategic Ecosystem Management GEF Project,World Bank,Active,2013,2018,Middle East and North Africa,Indian Ocean,"Djibouti, Egypt, Jordan, Sudan & Yemen",PERSGA-Regional Organisation for Conservation of Red Sea & Gulf of Aden,TBC,,,Africa Eshogba Olojoba,http://projects.worldbank.org/P113794/red-sea-gulf-aden-strategic-ecosystem-management-gef-project?lang=en
340,Management of marine biodiversity (costal and insular) in East Africa and the Indian Ocean,European Union & COI,Active,2014,2018,"Tanzania, Kenya, Seychelles, Mauritius, Comoros & Madagascar",Indian Ocean,,,US$ 15.9 million,,,,https://webgate.ec.europa.eu/europeaid/online-services/index.cfm?ADSSChck=1475111619768&do=publi.getDoc&documentId=150973&pubID=137091
341,Mozambique Conservation Areas for Biodiversity and Development Project,World Bank,Active,2014,2018,Mozambique,Indian Ocean,Government of Mozambique,Ministry of Tourism,US$ 40.00  million,IDA - US$ 40 million,,Andre Rodrigues de Aquino,http://www.projects.worldbank.org/P131965?lang=en
342,Appui au développement du Parc marin de Mohéli,AFD,Active,2014,2019,Comoros,Indian Ocean,,,US$ 3.1 million,,,,http://www.afd.fr/home/pays/afrique/geo-afr/comores/projets-comores/pmm
343,Mangroves for the Future - Phase three,Ministry of the Environment and Energy Section for natural resources (Sweden),Active,2014,2018,,Indian Ocean,,,"US$ 8,340,000",Collaboration with ICUN (Sweden contributes to ICUN core funding),,,
344,Community climate watch and coral reef monitoring project,UNDP,Active,2014,2015,Maldives,Indian Ocean,,Grantee: Gemana,"US$ 30,000",N/A,Community based adaptation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22340&Itemid=272
345,Monitoring and rehabilitation of reefs of Vilingili,UNDP,Active,2014,2015,Maldives,Indian Ocean,,Grantee: Save the Beach,"Grant amount: US$ 17,210; Co-financing cash: US$ 2,343; Co-financing in-kind: US$ 23,060",,Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21913&Itemid=272
346,Climate Change Adaptation Project,World Bank,Active,2015,2018,Maldives,Indian Ocean,Ministry of Finance & Treasury,Ministry of Environment and Energy,US$ 4.21  million,N/A,,Gaurav D. Joshi,http://projects.worldbank.org/P153301?lang=en
347,Renforcer la résilience côtière pour la réduction des risques de catastrophe et l’adaptation au changement climatique dans les petits territoires insulaires en intégrant des infrastructures vertes et grises,FFEM +  CI,Active,2015,2019,Philippines,Indian Ocean,,,US$ 4.8 million,,,,http://www.ffem.fr/accueil-FFEM/projets/projets_ffem-par-secteur/Projetschangement-climatique/2015_CPH1027_Philippines_Renforcer-la-resilience-cotiere-pour-la-reduction-des-risques-de-catastrophe-et-l-adaptation-au-changement-climatique-dans-les-petits-territoires-insulaires-en-integrant-des-infrastructures-vertes-et-grises
348,AFCC2/RI-First South West Indian Ocean Fisheries Governance and Shared Growth Project,World Bank,Active,2015,2021,,Indian Ocean,"Comoros, Mozambique, Tanzania",Ministries in Charge of Fisheries,US$ 91.00  million,,,"Daniel Mira-Salama, Dinesh Aryal",http://projects.worldbank.org/P132029?lang=en
349,Enhancing Biodiversity Conservation and Sustenance of Ecosystem Services in Environmentally Sensitive Areas,GEF Trust Fund,Active,2015,,Sri Lanka,Indian Ocean,,UN Development Programme; Ministry of Environment,"US$ 19,376,690","GEF - US$ 2,626,690, Co-financing US$ 16,650,000",,,https://www.thegef.org/project/enhancing-biodiversity-conservation-and-sustenance-ecosystem-services-environmentally
350,Ecosystem Conservation and Management,World Bank,Active,2016,2021,Sri Lanka,Indian Ocean,Government of Sri Lanka,Ministry of Tourism and Sports,US$ 45.00  million,IDA - US$ 45 million,,"Darshani De Silva, Abdelaziz Lagnaoui",http://projects.worldbank.org/P156021?lang=en
351,"Consolidating Research and Analytical Capacity in Fisheries and Aquaculture for Food Security, Adapting to Climate Change, Sustainable Resource Managament and Inclusive Development",Ministry of the Environment and Energy Section for natural resources (Sweden),Active,2015 (but ongoing since 1990) ,2020,Tanzania,Indian Ocean,,,"US$ 2,500,000","Collaboration with University of Dar es Salaam Institute of Marine Sciences (IMS), University of Dar es Salaam (UDSM) and Ministry of Finance in Tanzania",,,
352,Regulating Deep Sea Mining,Oceans5/ Deep Sea Conservation Coalition,Active,2013,2017,Global,Global,,,"US$ 360,000",,,,http://oceans5.org/project/regulating-deep-sea-mining/
353,Northern Bering Sea Protected Area,Native American Rights Fund (NARF)/ Oceans5,Active,2015,2017,USA,Atlantic Ocean/ Pacific Ocean,,,"US$ 228,000",,,,http://oceans5.org/project/northern-bering-sea-protected-area-needs-map/
354,National Marine Monument Coalition,Center for American Progress (CAP)/ Oceans5,Active,2015,2017,USA,Atlantic Ocean/ Pacific Ocean,,,"US$ 103,000",,,,http://oceans5.org/project/national-marine-monument-coalition/
355,"Integrated Ecosystem Maagement in Four Representative Landscapes of Senegal, Phase 1",GEF Trust Fund,Active,2002,,Senegal,Atlantic Ocean,,"UN Development Programme; Ministry of Environment (ME) with the cooperation of DPN, DEFCCS, DCERP; and Ministry of Fisheries","US$ 8,269,000","GEF - US$ 4,000,000, Co-financing US$ 3,919,000",,,https://www.thegef.org/project/integrated-ecosystem-management-four-representative-landscapes-senegal-tranche-1
356,Towards the sustainable monitoring and management of coral reefs in St. Kitts and Nevis,UNDP,Active,2010,,Barbados,Atlantic Ocean,,Grantee: St. Christopher National Trust,"Grant amount: US$ 48,470; Co-financing cash: US$ 649; Co-financing in-kind: US$ 54,699",,Biodiversity,,https://www.sgp.undp.org/~sgpundp/index.php?option=com_sgpprojects&view=projectdetail&id=16002&Itemid=272
357,CBSP Sustainable Community Based Management and Conservation of Mangrove Ecosystems in Cameroon,GEF Trust Fund,Active,2011,2017,Cameroon,Atlantic Ocean,,"Food and Agriculture Organisation; Ministry of Environment and Nature Protection (MINEP), Cameroon Wildlife Conservation Society (CWCS) and IUCN Cameroon Office","US$ 6,474,180","GEF - US$ 1,733,180, Co-financing US$ 4,656,000",,,https://www.thegef.org/project/cbsp-sustainable-community-based-management-and-conservation-mangrove-ecosystems-cameroon
358,Advancing Marine Protected Areas in the Bahamas,Oceans5,Active,2013,2019,Bahamas,Atlantic Ocean,,,"US$ 1,200,000","The Nature Conservancy (tnc), The Bahamas National Trust (BNT), The Bahamas Reef Environment Educational Foundation (BREEF)",,,http://oceans5.org/project/advancing-marine-protected-areas-in-the-bahamas/
359,GABON - Sustainable Management of Critical Wetlands Ecosystems,World Bank,Active,2014,2020,Gabon,Atlantic Ocean,Republic of Gabon,Directorate of Environment,US$ 7.52  million,GEF - US$ 7.52 million,,Salimata D. Follea,http://projects.worldbank.org/P143914/gabon-sustainable-management-critical-wetlands-ecosystems?lang=en
360,Coastal conservation education: protecting Barbados' coral reef,UNDP,Active,2014,2015,Barbados,Atlantic Ocean,,Grantee: Trekvoy Art and Literary Endowment for the Naturally Talented,"Grant amount: US$ 50,000; Co-financing cash: US$ 2,550; Co-financing kind: US$ 57,703.65",,Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22143&Itemid=272
361,"Pine Islands - Forest/ Mangrove Innovation and Integration (Grand Bahama, New Prodivence, Abaco and Andros)",GEF Trust Fund,Active,2015,,Bahamas,Atlantic Ocean,,"UN Environment Programme; BEST Commission with Bahamas Agriculture and Industrial Corporation (BAIC), Bahamas National G.I.S. Centre (BNGIS), Bahamas National Trust (BNT), Department of Lands &amp; Surveys (DLS), Forestry Unit, Department of Physical Planning (DPP), and Town Planning Committee (TPC)","US$ 10,648,683","GEF - US$ 2,853,425, Co-financing US$ 7,695,258",,,https://www.thegef.org/project/pine-islands-forestmangrove-innovation-and-integration-grand-bahama-new-providence-abaco-and
362,Engaging the community and building capacity for Coral Reef Restoration Alliance (CORALL),UNDP,Active,2016,,Barbados,Atlantic Ocean,,Bellairs Research Institute,"US$ 9,180","Grant amount: US$ 4,900; Co-financing in-kind: US$ 4,280",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24084&Itemid=272
363,Conservation of the Patagonian Sea,Oceans5,Active,2017,2020,"Argentina, Chile",Atlantic Ocean,,,"US$ 979,515",Wildlife Conservation Society (WCS) and the Forum for the Conservation of the Patagonian Sea and Areas of Influence,,,http://oceans5.org/project/conservation-of-the-patagonian-sea/
364,"Improve Sustainability of Mangrove Forests and Coastal Mangrove Areas in Liberia through Protection, Planning and Livelihood Creation - as a Building Block Towards Liberia's Marine and Coastal Protected Areas",GEF Trust Fund,Active,2016 (concept approved),,Liberia,Atlantic Ocean,,Conservation International; Environmental Protection Agency Liberia CI Liberia,"US$ 4,704,994","GEF - US$ 963,994, Co-financing US$ 3,650,000",,,https://www.thegef.org/project/improve-sustainability-mangrove-forests-and-coastal-mangrove-areas-liberia-through
365,BEST - Régime volontaire pour la biodiversité et les services écosystémiques dans les régions ultrapériphériques et les pays et territoires d’outre-mer européens ,UE,Active,2012,2018, EU Overseas Countries and Territories (OCTs),Atlantic Ocean/ Pacific Ocean/ Indian Ocean,,,US$ 2.1 million,,,,http://europa.eu/rapid/press-release_IP-11-241_en.htm
366,UNDP Re-granting  Partnership Phase II;  Towards Sustainable  Management of Belize`s  Seascape,Oak Foundation,Progress Report,2016,2018,Belize,Pacific Ocean,,United Nations  Development Program-  COMPACT,"US$ 934,125","Oak Foundation - US$ 500,000; UNDP/ GEFSGP OPG Country Grant Allocation - US$ 200,000; UNDP/ ICCA Global Support Initiative (BMU) Country Grant - US$ 185,000; Admin and Operational Expenses - US$ 49,125",,,www.undp.org and  http://sgp.undp.org/
367,Building Sustainability  and Enhancing Climate  Resilience of Belize's MPA  System,Oak Foundation,Monitoring,2016,2020,Belize,Pacific Ocean,,University of Belize,"US$ 3,919,974","Oak Foundation - US$ 855,000; University of Belize - US$ 3,064,974",,,
368,Oceans FIve Alliance -  renewal 2016,Oak Foundation,Progress Report,2016,2019,USA,Atlantic Ocean/ Pacific Ocean,,"Rockefeller Philanthropy  Advisors, Inc.","US$ 14,000,000","Oak Foundation - US$ 3,000,000; Marisla Foundation - US$ 3,000,000; Leonardo DiCaprio Foundation, The - US$ 1,000,000; Planet Heritage Foundation - US$ 1,000,000; Paul M. Angell Family Foundation - US$ 1,000,000; Tiffany & Co Foundation - US$ 3,000,000; Waitt Foundation - US$ 1,000,000; Moore Charitable Foundation - US$ 500,000; Bloomberg Philanthropies - US$ 500,000",,,www.rockpa.org
369,Coral Reef Rehabilitation and Management Program- Coral Triangle Initiative (COREMAP-CTI),World Bank,Active,2014,2019,Indonesia,Pacific Ocean,Government of Indonesia,Ministry of Marine Affairs and Fisheries,US$ 53.08  million,IBRD - US$ 47.4 million.... Gov of Indonesia - US$ 5.7 million,Marine Protected Areas (PA) management,,http://projects.worldbank.org/P127813/coral-reef-rehabilitation-management-program-phase-iii?lang=en
370,The Mesoamerican Reef  Leadership Program:  Building a New  Generation of  Conservation Leaders,Oak Foundation,Progress Report,2014,2018,Mexico,Pacific Ocean,,"Fondo Mexicano para la  Conservation de la  Naturaleza, A.C.","US$ 949,000","Oak Foundation - US$ 520,000; Mexican Fund for the Conservation of Nature - US$ 74,000; Summit Foundation - US$ 285,000; Tiffany & Co Foundation - US$ 50,000; TreadRight Foundation - US$ 15,000",Marine Protected Areas (PA) management,,www.fmcn.org/www.ma..
371,MarAlliance Creating a  Conservation Baseline  and Constituency for  Marine Megafauna in the  MBRS,Oak Foundation,Progress Report,2014,2019,USA,Atlantic Ocean/ Pacific Ocean,,Wildlife Conservation  Network,"US$ 1,135,900","Oak Foundation - US$ 375,000; Petersen Family Foundation - US$ 300,000; Chip Petersen - US$ 50,000; Saddle Foundation - US$ 300,000; Kathy Holmes - US$ 100,000; Wildlife Conservation Network - US$ 10,900",Conservation,,www.wildnet.org
372,Strengthening MAR Fund  Programmatic Activities  and Core Support,Oak Foundation,Progress Report,2015,2019,Guatemala,Pacific Ocean,,Mesoamerican Reef Fund,"US$ 12,258,922","Oak Foundation - US$ 300,000; KFW Endowment Fund - US$ 1,988,000; KFW Phase 1 - US$ 2,870,758; KFW Phase 2 - US$ 6,253,166; FFEM - US$ 240,000",Marine Protected Areas (PA) management,,www.marfund.org
373,Core Support:  Strengthening  Institutional Capacity to  influence Public Policies,Oak Foundation,Monitoring,2015,2020,Belize,Pacific Ocean,,Sarstoon Temash  Institute for Indigenous  Management,"US$ 907,087","Oak Foundation - US$ 689,687; New England Bio-labs - US$ 8,000; Swift Foundation - US$ 150,000; First People's World Wide - US$ 10,000; Inter American Foundation - US$ 49,400",Policy and Legislation (PL),,www.satiim.org.bz
374,Sustainable Fisheries and  Effective Management of  marine Protected areas in  Belize: Growing the  Impact,Oak Foundation,Monitoring,2015,2018,USA,Atlantic Ocean/ Pacific Ocean,,Wildlife Conservation  Society,"US$ 1,576,917","Oak Foundation - US$ 850,000; Darwin Initiative - US$ 429,399; WCS Contribution to Belize Program - US$ 127,518; Summit Foundation - US$ 170,000",Fisheries Management,,www.wcs.org
375,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,World Bank,Active,2016,2022,Vietnam,Pacific Ocean,Government of Vietnam,Ministry of Natural Resources and Environment,US$ 387 million,IDA - US$ 310 … Government of Vietnam US$ 77 million,Climate Change Resilience,,http://projects.worldbank.org/P153544?lang=en
376,Belize Conservation Fund,Oak Foundation,Progress Report,2016,2020,Guatemala,Pacific Ocean,,Mesoamerican Reef Fund,"US$ 10,000,000","Oak Foundation - US$ 10,000,000",Conservation,,www.marfund.org
377,Re-granting in the  Mesoamerican Reef,Oak Foundation,Progress Report,2016,2020,Guatemala,Pacific Ocean,,Mesoamerican Reef Fund,"US$ 11,526,611","Oak Foundation - US$ 2,240,000; KFW - US$ 1,989,777; KFW Phase 1 - US$ 1,552,570; KFW Phase 2 - US$ 4,070,111; KFW Reef Rescue Endowment - US$ 1,318,419; FFEM - US$ 192,078",Marine Protected Areas (PA) management,,www.marfund.org
378,Core Support 2016-2018,Oak Foundation,Monitoring,2016,2018,USA,Atlantic Ocean/ Pacific Ocean,,,"US$ 6,410,000",,,,www.oceana.org
379,Turneffe Atoll Marine Reserve,The Bertarelli Foundation,Active,2013,2018,Belize,Indian Ocean,Turneffe Atoll Sustainability Association (TASA),Turneffe Atoll Sustainability Association (TASA),"US$ 3,000,000",N/A,,,"Valdemar Andrade (valdemar@tasabelize.com)

The Bertarelli Foundation supported the government of Belize to create the Turneffe MPA in 2012 and then helped in the creation of the co-management organisation (TASA).  TASA manage and enforce the reserve with fisher and tourism stakeholders.  The project has a direct influence on the continued surivial of coral, mangrove and seagrass habitats. https://www.fondation-bertarelli.org/marine/belize/"
380,Bertarelli Programme in Marine Science,The Bertarelli Foundation,Active,2017,2021,BIOT,Indian Ocean,Various academic institutions,Zoological Society of London,"US$ 12,000,000",N/A,,,"Heather Koldewey (heather.koldewey@zsl.org)

The Bertarelli Foundation recently launched the Bertarelli Programme in Marine Science to provide a longer-term stratgey for support of scientific deiscovery in the British Indian Ocean Territory.  A number of collaborative projects are supported which focussed on coral reefs: Coral Reef Condition in BIOT (University of Bangor); Long-term  Monitoring of Reef Fish Assemblages (AIMS); Coral Reef Biodiversity (University of Oxford)"
381,The Dugong and Seagrasses Conservaion Project,GEF Trust Fund,Active,2014,,Global,Indian and Pacific Ocean,,United Nations Environment Programme,"US$ 105,353,061","Project Grant - US$ 170,000; GEF Grant - US$ 5,884,018; GEF Fees - US$ 558,982; Co-financing - US$ 99,299,043",,,https://www.thegef.org/project/enhancing-conservation-effectiveness-seagrass-ecosystems-supporting-globally-significant
